Etunimi,Lukumäärä
Ottiilia,111
Vella,111
Alisia,110
Marja-Helena,110
Merete,110
Sinja,110
Yolanda,110
Zoe,110
Anika,109
Dorotea,109
Ensi,109
Hilve,109
Lucy,109
Milli,109
Priscilla,109
Raakeli,109
Ulla-Mari,109
Chloe,108
Eela,108
Janine,108
Marjanna,108
Peppi-Lotta,108
Sari-Anne,108
Zaida,108
Eugenia,107
Fredriikka,107
Gun-Lis,107
Jean,107
Mariita,107
Riikka-Maria,107
Rinna,107
Tuula-Maija,107
Aleksia,106
Catrine,106
Edna,106
Katjaana,106
Keiju,106
Mary-Ann,106
Melek,106
Mirelle,106
Nadejda,106
Raini,106
Rilla,106
Rosina,106
Sonya,106
Urpu,106
Akuliina,105
Anne-Riitta,105
Casandra,105
Catrin,105
Heikintytär,105
Helly,105
Maura,105
Sella,105
Stefanie,105
Alessa,104
Miona,104
Rose-Maj,104
Selinda,104
Anna-Katariina,103
Ann-Charlott,103
Arja-Riitta,103
Emma-Sofia,103
Hani,103
Hennariikka,103
Line,103
Marguerite,103
Savannah,103
Asma,102
Eliise,102
Henny,102
Joan,102
Liselott,102
Nanny,102
Nessa,102
Ulla-Marja,102
Zeinab,102
Albertina,101
Anja-Liisa,101
Anneka,101
Anni-Sofia,101
Eleni,101
Hafsa,101
Hilde,101
Jeannette,101
Sumaya,101
Gunn,100
Henniina,100
Janetta,100
Ljubov,100
Thao,100
Tianna,100
Annmari,99
Caterina,99
Chiara,99
Eerin,99
Eija-Leena,99
Fatma,99
Irja-Liisa,99
Mae,99
Manna,99
Opri,99
Hanna-Riitta,98
Jacqueline,98
Meh,98
Minella,98
Minh,98
Nada,98
Nanne,98
Pirketta,98
Sofiia,98
Tatja,98
Tita,98
Tutta,98
Verona,98
Elly,97
Emerentia,97
Lauren,97
Meira,97
Ristiina,97
Vendla,97
Aicha,96
Emine,96
Eufrosyne,96
Gunn-Britt,96
Irmelin,96
Margareth,96
Miida,96
Salla-Maaria,96
Sara-Maria,96
Valerie,96
Viviana,96
Yasemin,96
Eleanoora,95
Gabrielle,95
Hinni,95
Kathleen,95
Kirsimarja,95
Minda,95
Natali,95
Odette,95
Said,95
Sini-Tuulia,95
Tuuliina,95
Anni-Mari,94
Carmela,94
Cathrine,94
Huong,94
Jamina,94
Julina,94
Anna-Greta,93
Evy,93
Flora,93
Jarintytär,93
Jill,93
Karoline,93
Kiana,93
Liida,93
Serafiia,93
Sini-Maria,93
Sole,93
Tuyet,93
Veea,93
Adella,92
Angel,92
Julietta,92
Justina,92
Merit,92
Renate,92
Terja,92
Unni,92
Vanilja,92
Corinne,91
Deborah,91
Emina,91
Enya,91
Etta,91
Eveline,91
Gitta,91
Hagar,91
Lotta-Maria,91
Margitta,91
Minessa,91
Minnamari,91
Minttu-Maaria,91
Mitra,91
Unnukka,91
Vivika,91
Anina,90
Emma-Lotta,90
Emmi-Lotta,90
Ha,90
Kirsi-Maarit,90
Melody,90
Miranna,90
Sanna-Maarit,90
Dalia,89
Donna,89
Hannakaisa,89
Hannuntytär,89
Kaisa-Mari,89
Lise-Lotte,89
Lova,89
Meja,89
Minna-Maarit,89
Minttu-Maria,89
Vivianna,89
Anne-Kristiina,88
Eliza,88
Jukantytär,88
Kukka-Maria,88
Liselotte,88
Marje,88
Miili,88
Rosalina,88
Toive,88
Annuli,87
Arlene,87
Eloisa,87
Jemima,87
Julianne,87
Marena,87
Minna-Leena,87
Pricilla,87
Raina,87
Savanna,87
Sorella,87
Trang,87
Agata,86
Angelique,86
Anne-Marita,86
Arita,86
Beeda,86
Hymy,86
Jenna-Maria,86
Lana,86
Leonie,86
Marja-Kaarina,86
Mikantytär,86
Minna-Riitta,86
Päivyt,86
Tarita,86
Tuula-Marja,86
Agatha,85
Alexandria,85
Ariela,85
Daalia,85
Edita,85
Maret,85
Merina,85
Tiina-Riitta,85
Toivikki,85
Ayan,84
Cajsa,84
Gina,84
Gunda,84
Hodan,84
Juudit,84
Lianna,84
Merja-Leena,84
Tiana,84
Tähti,84
Ulpukka,84
Ainamo,83
Halima,83
Helin,83
Karintytär,83
Lilianna,83
Meliina,83
Mona-Lisa,83
Nemi,83
Soraja,83
Suvi-Maaria,83
Suzan,83
Tii,83
Alexina,82
Anna-Karoliina,82
Anya,82
Berta,82
Hamdi,82
Henriina,82
Kaari,82
Lyylikki,82
Maryan,82
Mataleena,82
Mella,82
Muisto,82
Oivi,82
Soraya,82
Sunna,82
Una,82
Asha,81
Eevaliisa,81
Elliida,81
Frances,81
Hanna-Reetta,81
Huda,81
Izabella,81
Marja-Kaisa,81
Milea,81
Mirkku,81
Simona,81
Stefania,81
Anne-May,80
Ann-Helen,80
Cristiina,80
Eeva-Stiina,80
Elaine,80
Freija,80
Gia,80
Hele,80
Ismail,80
Lan,80
Minette,80
Nelle,80
Pirta,80
Ronya,80
Satu-Marja,80
Cara,79
Gitte,79
Iina-Maria,79
Joanne,79
Le,79
Margarethe,79
Mi,79
Nhi,79
Sorja,79
Varvara,79
Adanna,78
Anna-Helena,78
Anna-Lotta,78
Ann-Catrin,78
Maleena,78
Marwa,78
Matilde,78
Meija,78
Minna-Kaisa,78
Satu-Maaria,78
Sulevi,78
Terttu-Liisa,78
Venni,78
Villiina,78
Vivianne,78
Catalina,77
Eda,77
Esra,77
Isra,77
Jamila,77
Kirsten,77
Lykke,77
Meryem,77
Pirkko-Leena,77
Sarika,77
Sirkka-Leena,77
Tora,77
Yasmina,77
Aino-Sofia,76
Aya,76
Chantal,76
Constance,76
Gustava,76
Görel,76
Heléne,76
Jenika,76
June,76
Kuura,76
Lene,76
Marinella,76
Marléne,76
Nea-Maria,76
Riitu,76
Tuuli-Maria,76
Wera,76
Adolfina,75
Aino-Liisa,75
Dahlia,75
Hope,75
Mindi,75
Naima,75
Niini,75
Pii,75
Renée,75
Salla-Maarit,75
Silla,75
Sol-Britt,75
Aimi,74
Anetta,74
Elli-Maija,74
Eva-Stina,74
Helmi-Maria,74
Jeanne,74
Jessiina,74
Kaija-Riitta,74
Katia,74
Leanna,74
Mildred,74
Tarina,74
Tiina-Kaisa,74
Viva,74
Aleksandrovna,73
Aleksantra,73
Aliisi,73
Angervo,73
Anki,73
Anmari,73
Annemarie,73
Anni-Kaisa,73
Edda,73
Gunlög,73
Magda,73
Nadezhda,73
Olena,73
Sirena,73
Wanda,73
Viona,73
Andréa,72
Beea,72
Elli-Maria,72
Ingemo,72
Kamomilla,72
Kariina,72
Kersti,72
Mainikki,72
Oma,72
Serina,72
Uma,72
Van,72
Vanja,72
Venja,72
Vivien,72
Aana,71
Anastassia,71
Ayla,71
Brianna,71
Clary,71
Eleonor,71
Eliisi,71
Esme,71
Etti,71
Eva-Lisa,71
Helkky,71
Jenni-Mari,71
Layla,71
Liisa-Maija,71
Medina,71
Muusa,71
Neve,71
Niina-Maria,71
Raakkel,71
Reine,71
Rosalinda,71
Sikuriina,71
Sipriina,71
Tiila,71
Valentiina,71
Valvikki,71
Veela,71
Anu-Riikka,70
Elanor,70
Inka-Maria,70
Jama,70
Juli,70
Kirsi-Mari,70
Leena-Maria,70
Liza,70
María,70
Nimo,70
Sini-Maaria,70
Vilda,70
Yen,70
Anna-Riina,69
Cristine,69
Juanita,69
Lise-Lott,69
Maren,69
Marjo-Liisa,69
Riina-Maria,69
Roza,69
Sanna-Riikka,69
Taisia,69
Tiiti,69
Aino-Elina,68
Alba,68
Albina,68
Annimari,68
Ayaan,68
Birit,68
Brigitte,68
Eeda,68
Eeva-Mari,68
Emmi-Sofia,68
Jonna-Maria,68
Laine,68
Maileena,68
Meerit,68
Penni,68
Rahma,68
Thyra,68
Tiffany,68
Tova,68
Anuliina,67
Hetti,67
Irma-Liisa,67
Kristella,67
Leena-Marja,67
Melita,67
Merituulia,67
Noora-Maria,67
Ros-Marie,67
Safiya,67
Sanne,67
Scarlett,67
Signhild,67
Silmu,67
Ying,67
Alia,66
Amalie,66
Ancela,66
Heili,66
Inessa,66
Jannike,66
Jenica,66
Jessina,66
Katarine,66
Kylli,66
Liidia,66
Mahamud,66
Malvina,66
Marjana,66
Miljaana,66
Nika,66
Aisla,3965
Aleksina,65
Amilia,65
Anastasija,65
Anna-Maarit,65
Birkitta,65
Diane,65
Evena,65
Kaisli,65
Maritsa,65
Meritta,65
Pekantytär,65
Priitta,65
Ruby,65
Safa,65
Siiri-Sofia,65
Theodora,65
Angeliina,64
Annaliina,64
Anneliina,64
Ellinora,64
Emmaliina,64
Hanna-Maaria,64
Iiri,64
Jada,64
Joyce,64
Juulianna,64
Kelly,64
Malak,64
Marjo-Riikka,64
Taava,64
Tuomikki,64
Vladimirovna,64
Asteri,63
Hélène,63
Katri-Maria,63
Leija,63
Miilia,63
Minéa,63
Nelia,63
Onnia,63
Pirja,63
Ullamaija,63
Adelaide,62
Adèle,62
Anna-Katriina,62
Awa,62
Chatarina,62
Eva-Lotta,62
Hanna-Maarit,62
Janella,62
Kateriina,62
Kikka,62
Maijaliisa,62
Marilyn,62
Maryama,62
Milla-Maaria,62
Milla-Mari,62
Nathalia,62
Nhu,62
Pelagia,62
Renee,62
Sanniina,62
Sarri,62
Seija-Riitta,62
Sofiina,62
Soja,62
Tehilla,62
Tuua,62
Veera-Maria,62
Villentytär,62
Abdirashid,61
Debora,61
Eerica,61
Ella-Noora,61
Esma,61
Greeta,61
Immi,61
Jenna-Mari,61
Lin,61
Madelein,61
Markontytär,61
Menna,61
Minna-Maaria,61
Noa,61
Penelope,61
Sheila,61
Soma,61
Susana,61
Suvi-Päivi,61
Tarja-Riitta,61
Tuva,61
Wilda,61
Aivi,60
Arintytär,60
Beatriz,60
Dorothy,60
Hilla-Maria,60
Karenina,60
Lolan,60
Margarete,60
Martiina,60
Merle,60
Miia-Mari,60
Misa,60
Najma,60
Päivänsäde,60
Satu-Sinikka,60
Silpa,60
Talvi,60
Ulla-Stina,60
Vida,60
Viktoriina,60
Annariikka,59
Anni-Elina,59
Anni-Maija,59
Beada,59
Birgetta,59
Ciara,59
Ella-Mari,59
Emilla,59
Erja-Liisa,59
Fiinu,59
Franziska,59
Junia,59
Jussintytär,59
Katja-Maria,59
Kitta,59
Lioubov,59
Luise,59
Maare,59
Madeline,59
Mari-Johanna,59
May-Britt,59
Milia,59
Mimmu,59
Pia-Liisa,59
Pihlaja,59
Quynh,59
Rae,59
Sahar,59
Solbritt,59
Tanita,59
Torborg,59
Tuomi,59
Ulla-Riikka,59
Weera,59
Adaliina,58
Aliise,58
Anu-Maarit,58
Aylin,58
Ayse,58
Carol,58
Del,58
Eedith,58
Eleena,58
Fredrica,58
Georgina,58
Liisu,58
Lilla,58
Mariama,58
Marine,58
Metti,58
Miska,58
Petrintytär,58
Riikka-Leena,58
Shukri,58
Sue,58
Suvi-Marja,58
Tarja-Tuulikki,58
Tonja,58
Tuula-Riitta,58
Vy,58
Zeynep,58
Aada-Maria,57
Ada-Sofia,57
Alica,57
April,57
Arna,57
Berfin,57
Corinna,57
Dania,57
Eevamaria,57
Eline,57
Elmiira,57
Emelina,57
Halimo,57
Hanan,57
Joana,57
Kaisa-Maija,57
Maija-Kaisa,57
Mariikka,57
Maxine,57
Metta,57
Noelia,57
Shirin,57
Titti,57
Aria,56
Beatrix,56
Bertha,56
Delila,56
Ela,56
Ella-Sofia,56
Elvina,56
Evin,56
Heinikki,56
Khadra,56
Mai-Lis,56
Manja,56
Marjorie,56
Melis,56
Mildrid,56
Minna-Maija,56
Nour,56
Sisko-Liisa,56
Suleima,56
Anu-Maria,55
Bich,55
Chloé,55
Désirée,55
Emmi-Maria,55
Gea,55
Hannamaria,55
Kaisu-Leena,55
Leonore,55
Maaren,55
Mariatta,55
Mili,55
Tiitta,55
Velma,55
Alex,54
Anna-Kaija,54
Chelsea,54
Elsa-Maria,54
Faith,54
Hanne-Maria,54
Helpi,54
Ida-Lotta,54
Ifrah,54
Ivy,54
Ly,54
Malika,54
Marla,54
Megan,54
Melia,54
Naimi,54
Nga,54
Niki,54
Sari-Anna,54
Sievä,54
Wendy,54
Yana,54
Zinaida,54
Aden,53
Alejandra,53
Ami,53
Ancelika,53
Anna-Reeta,53
Anne-Liisa,53
Celinda,53
Demi,53
Desireé,53
Ellanoora,53
Gita,53
Indira,53
Jinna,53
Käthe,53
Laura-Kaisa,53
Mesi,53
Neilikka,53
Noemi,53
Rosemarie,53
Venna,53
Violeta,53
Yan,53
Adna,52
Ainomaija,52
An,52
Anett,52
Aniela,52
Annami,52
Ashley,52
Azra,52
Christiane,52
Eena,52
Eevaleena,52
Eileen,52
Eleonore,52
Enia,52
Essi-Maria,52
Fatemeh,52
Henriksdotter,52
Ilo,52
Kirsti-Liisa,52
Maaretta,52
Madelen,52
Marjo-Leena,52
Mirabella,52
Mohammad,52
Ninette,52
Riikka-Mari,52
Riitta-Sisko,52
Saana-Maria,52
Sadia,52
Sanni-Maria,52
Sundus,52
Teodora,52
Tuija-Liisa,52
Tuutikki,52
Valo,52
Vesta,52
Vivica,52
Zahraa,52
Aaria,51
Ann-Maria,51
Bahar,51
Dilara,51
Erina,51
Hana,51
Hoang,51
Ingvor,51
Kaiju,51
Kristen,51
Kukkamaaria,51
Lorena,51
Madelaine,51
Maida,51
Roberta,51
Sanni-Mari,51
Siw,51
Vega,51
Annabelle,50
Athena,50
Dea,50
Eunice,50
Faina,50
Ida-Emilia,50
Johanne,50
Julija,50
Marcella,50
Mare,50
Markareetta,50
Mindy,50
Nelli-Noora,50
Priita,50
Sibel,50
Sirkku-Liisa,50
Siro,50
Tinna,50
Tuuni,50
Wiola,50
Abukar,49
Anna-Katri,49
Ariella,49
Bashir,49
Birgitte,49
Britt-Louise,49
Fatou,49
Hetta,49
Hoa,49
Huyen,49
Idun,49
Jenny-Maria,49
Karolin,49
Kay,49
Linéa,49
Lizette,49
Lovis,49
Markuntytär,49
Odelia,49
Pia-Mari,49
Reetta-Liisa,49
Rosanne,49
Seita,49
Terése,49
Uni,49
Wellamo,49
Wiivi,49
Adelle,48
Ainomaria,48
Amiira,48
Anissa,48
Anne-Charlotte,48
Dahir,48
Eeva-Kristiina,48
Elisi,48
Elsbeth,48
Emma-Maria,48
Eva-Marie,48
Farhia,48
Gunlis,48
Hawa,48
Hippu,48
Jaakontytär,48
Janiika,48
Katju,48
Kesia,48
Lisa-Maria,48
Mariko,48
Marjaterttu,48
Michele,48
Oona-Maria,48
Otteliaana,48
Outi-Maria,48
Peppilotta,48
Roosa-Maaria,48
Sigbritt,48
Sivia,48
Tuula-Anneli,48
Valpu,48
Viviann,48
Ada-Maria,47
Alexis,47
Anastasiia,47
Audrey,47
Brenda,47
Camila,47
Camille,47
Delia,47
Dolly,47
Eili,47
Hang,47
Heini-Maria,47
Heldine,47
Janice,47
Jonna-Mari,47
Kayla,47
Keijukka,47
Malou,47
Mariza,47
Ninnu,47
Sannakaisa,47
Sanna-Maaria,47
Taira,47
Tella,47
Varma,47
Vivienne,47
Zhanna,47
Ailiina,46
Aire,46
Aleksa,46
Alison,46
Amber,46
Ania,46
Bao,46
Céline,46
Eloise,46
Iona,46
Irkka,46
Jaanika,46
Jael,46
Loan,46
Mikael,46
Monique,46
Muru,46
Nasra,46
Rinja,46
Safina,46
Ulla-Brita,46
Yusra,46
Adan,45
Aino-Inkeri,45
Alisha,45
Anne-Marjut,45
Arabella,45
Arnevi,45
Eetla,45
Eija-Sinikka,45
Farida,45
Hannamaija,45
Hasan,45
Henna-Leena,45
Katarzyna,45
Katie,45
Kuu,45
Liila,45
Lolita,45
Malina,45
Mariah,45
Meena,45
Melida,45
Mikaelsdotter,45
Nikki,45
Piia-Maria,45
Saara-Maija,45
Solina,45
Suna,45
Sävy,45
Tupuna,45
Verena,45
Ailikki,44
Anja-Leena,44
Anjuska,44
Anniliina,44
Annimaria,44
Brigitta,44
Edina,44
Elenor,44
Elmira,44
Esteriina,44
Fransilia,44
Gladys,44
Hawo,44
India,44
Isella,44
Jannentytär,44
Jenna-Julia,44
Lavinia,44
Lisa-Marie,44
Malgorzata,44
Marja-Elina,44
Matlena,44
Nasti,44
Natascha,44
Nomi,44
Sagal,44
Sana,44
Serafima,44
Snöfrid,44
Zelda,44
Abdirizak,43
Ailakki,43
Ama,43
Andersdotter,43
Beate,43
Darling,43
Dorita,43
Else-May,43
Hanna-Elina,43
Henna-Kaisa,43
Isolde,43
Jeni,43
Karima,43
Karpalo,43
Kirsi-Maaria,43
Marget,43
Milja-Maria,43
Minna-Riikka,43
Minne,43
Mustafa,43
Nataliya,43
Piret,43
Rana,43
Repekka,43
Riitta-Kaisa,43
Seena,43
Senia,43
Siham,43
Sissel,43
Tuulianna,43
Ulla-Leena,43
Vesantytär,43
Viktorina,43
Vilma-Lotta,43
Abdullah,42
Agnieszka,42
Alexiina,42
Anni-Emilia,42
Asmaa,42
Aster,42
Carlotta,42
Carolyn,42
Chanel,42
Chi,42
Dung,42
Effi,42
Effia,42
Ellamari,42
Fardowsa,42
Fransiska,42
Frederika,42
Gunbritt,42
Gundel,42
Gunni,42
Harrintytär,42
Hazel,42
Hibo,42
Idamaria,42
Iryna,42
Joline,42
Josefia,42
Kea,42
Krista-Maria,42
Lida,42
Ling,42
Lucie,42
Madicken,42
Madina,42
Maissi,42
Marge,42
Marja-Kristiina,42
Mia-Mari,42
Mira-Maria,42
Novalie,42
Paulette,42
Samia,42
Sinella,42
Sini-Tuuli,42
Tiia-Riikka,42
Veena,42
Viima,42
Viktoriia,42
Abbas,41
Adelie,41
Alana,41
Alda,41
Anne-Christine,41
Anne-Kaarina,41
Apollonia,41
Briita,41
Bushra,41
Eja,41
Evia,41
Gunveig,41
Hannaliisa,41
Hanna-Marja,41
Hatice,41
Helianna,41
Iida-Emilia,41
Jelina,41
Katalin,41
Katjuska,41
Kimberly,41
Ksenija,41
Marcela,41
Marlén,41
Miija,41
Minnie,41
Myrsky,41
Nila,41
Pia-Riitta,41
Raakkeli,41
Safiira,41
Sargit,41
Sari-Maarit,41
Satu-Sisko,41
Tam,41
Tilla,41
Tilta,41
Tintti,41
Vea,41
Yael,41
Yu,41
Zoja,41
Aada-Sofia,40
Alfrida,40
Anaïs,40
Christiana,40
Ciia,40
Cynthia,40
Dilan,40
Elda,40
Ella-Maija,40
Emmelie,40
Erja-Riitta,40
Fatema,40
Gun-Marie,40
Habiba,40
Iro,40
Iuliia,40
Leena-Kaarina,40
Maarja,40
Maija-Stiina,40
Mairit,40
Mandy,40
Manteli,40
Maria-Helena,40
Mari-Louise,40
Merette,40
Merve,40
Miia-Marika,40
Nasrin,40
Neda,40
Nguyen,40
Oline,40
Onna,40
Rimma,40
Rosemary,40
Sadetta,40
Sanni-Sofia,40
Saranda,40
Shirley,40
Sirpa-Leena,40
Tiia-Riina,40
Tiina-Marja,40
Ulla-Kaisa,40
Viivi-Maria,40
Viktoriya,40
Viktorovna,40
Vineta,40
Alfa,39
Anu-Liisa,39
Aslög,39
Darina,39
Derya,39
Ditte,39
Elene,39
Esantytär,39
Francisca,39
Hanh,39
Henna-Maija,39
Iida-Liisa,39
Iida-Lotta,39
Iida-Maija,39
Inge-Britt,39
Isela,39
Ivana,39
Jamal,39
Jasna,39
Kaiho,39
Kathryn,39
Kirta,39
Laurintytär,39
Leandra,39
Leena-Mari,39
Lotten,39
Lumilla,39
Majlen,39
Mari-Leena,39
Marjoriitta,39
Marleen,39
Mary-Anne,39
Melodia,39
Nan,39
Nasro,39
Nicoletta,39
Norah,39
Philippa,39
Pomeliina,39
Roosa-Mari,39
Rosi,39
Saara-Kaisa,39
Samintytär,39
Sarai,39
Sasha,39
Sickan,39
Sini-Maarit,39
Sirius,39
Skye,39
Telle,39
Truc,39
Tuija-Leena,39
Aalia,38
Abdifatah,38
Adelea,38
Agnete,38
Agnetha,38
Ahmad,38
Anni-Leena,38
Annmarie,38
Eija-Inkeri,38
Elen,38
Emma-Kaisa,38
Erikka,38
Erja-Leena,38
Eva-Maija,38
Eyvor,38
Franciska,38
Hailey,38
Helfrid,38
Helmi-Sofia,38
Hiba,38
Iidamaria,38
Ilkantytär,38
Illuusia,38
Inga-Liisa,38
Iqra,38
Iraida,38
Johansdotter,38
Kiisa,38
Krisse,38
Lumianna,38
Lydmila,38
Madison,38
Madleena,38
Majken,38
Marjuska,38
Melike,38
Mette-Maria,38
Mirja-Riitta,38
Nawal,38
Nenne,38
Nguyet,38
Noella,38
Ollintytär,38
Pi,38
Raquel,38
Rayaan,38
Rosamaria,38
Sania,38
Sinaida,38
Sini-Marja,38
Suvi-Tuulikki,38
Tiia-Tuulia,38
Aija-Leena,37
Amani,37
Anilla,37
Arwen,37
Aula,37
Aviva,37
Catariina,37
Cecilie,37
Eevamaija,37
Ellimaija,37
Emi,37
Emma-Leena,37
Emma-Liisa,37
Enniina,37
Eva-Kaarina,37
Faisa,37
Frideborg,37
Geraldine,37
Gun-Viol,37
Heli-Maria,37
Helmina,37
Ivanovna,37
Juno,37
Kamila,37
Katharine,37
Kitte,37
Larsdotter,37
Lien,37
Malaika,37
Margherita,37
Martine,37
Minta,37
Natja,37
Neonilla,37
Ngan,37
Nhung,37
Pia-Kristiina,37
Priska,37
Rosa-Marie,37
Saara-Sofia,37
Sabrin,37
Saija-Leena,37
Suad,37
Svanhild,37
Titi,37
Tuana,37
Ulla-Maarit,37
Wambui,37
Adea,36
Agafia,36
Annasofia,36
Anne-Maaret,36
Anne-Marika,36
Antonella,36
Anu-Mari,36
Biritta,36
Britt-Inger,36
Dawn,36
Dominique,36
Enneli,36
Eugenie,36
Fay,36
Gun-May,36
Hanna-Sofia,36
Hannemari,36
Helina,36
Hilkka-Maija,36
Iida-Mari,36
Inca,36
Jenifer,36
Jounintytär,36
Kerttu-Liisa,36
Liivia,36
Lounatuuli,36
Margitha,36
Marle,36
Mertta,36
Minnaliisa,36
Mireille,36
Mirela,36
Molla,36
Naemi,36
Nuur,36
Rabia,36
Reina,36
Riitta-Maria,36
Ristontytär,36
Roosamari,36
Salka,36
Samsam,36
Seea,36
Smilla,36
Suvituulia,36
Tapiontytär,36
Tuomaantytär,36
Tuuli-Maaria,36
Utu,36
Wanjiru,36
Wiktoria,36
Adelé,35
Aino-Emilia,35
Airiina,35
Amaya,35
Anna-Julia,35
Anna-Marie,35
Anna-Pauliina,35
Avelia,35
Avilla,35
Caitlin,35
del,35
Deniz,35
Eeva-Sisko,35
Elizabet,35
Ellamaria,35
Elvia,35
Emilija,35
Enni-Maria,35
Erkintytär,35
Fartun,35
Fernanda,35
Gaia,35
Giulia,35
Hanna-Riina,35
Idil,35
Inga-Lis,35
Jeena,35
Josetta,35
Kalla,35
Kara,35
Katya,35
Kristiine,35
Leone,35
Leontine,35
Lilija,35
Lilith,35
Lilya,35
Linda-Marie,35
Maj-Brit,35
Majbritt,35
Maria-Sofia,35
Marike,35
Markitta,35
Millie,35
Natalija,35
Neena,35
Nikola,35
Nikolaevna,35
Nisa,35
Oliwia,35
Petrina,35
Pippa,35
Ramla,35
Rashid,35
Rayan,35
Reetta-Leena,35
Saba,35
Seija-Leena,35
Suvi-Maarit,35
Svitlana,35
Tasnim,35
Teija-Liisa,35
Tuikku,35
Ubah,35
Ullamari,35
Xuan,35
Ülle,35
Abdul,34
Adeleine,34
Aiju,34
Aksiina,34
Alevtina,34
Anab,34
Annel,34
Annemaria,34
Ann-Nina,34
Anu-Leena,34
Arianne,34
Catherina,34
Eelia,34
Eevakaisa,34
Ene,34
Giselle,34
Henna-Maaria,34
Hilja-Maria,34
Ilham,34
Inga-Maria,34
Jaana-Maria,34
Jarita,34
Kieu,34
Lejla,34
Liilia,34
Lis-Marie,34
Lucina,34
Mahad,34
Mahdi,34
Margaretta,34
Mariya,34
Marja-Lea,34
Meri-Helmi,34
Mimma,34
Mirigli,34
Najmo,34
Natacha,34
Nataliia,34
Natasia,34
Nicolette,34
Poppy,34
Princess,34
Reetta-Kaisa,34
Reetta-Maria,34
Runo,34
Ruuth,34
Saara-Liisa,34
Sabah,34
Sanna-Marja,34
Sirkkaliisa,34
Suvianna,34
Suzanna,34
Tuttu,34
Tuuve,34
Ulla-Kaarina,34
Ulla-Liisa,34
Unikko,34
Vi,34
Ai,33
Alexander,33
Amadea,33
Annabell,33
Anna-Kristina,33
Artemis,33
Aureelia,33
Avella,33
Catrina,33
Chris,33
Cira,33
Damaris,33
Edel,33
Eeva-Riikka,33
Elviina,33
Eva-Lena,33
Fransina,33
Giovanna,33
Gisella,33
Heather,33
Helky,33
Inge-May,33
Jertta,33
Jessie,33
Kaisi,33
Katy,33
Khalid,33
Kiia-Maria,33
Kirsi-Leena,33
Kristian,33
Leena-Sisko,33
Liliane,33
Lilja-Maria,33
Lo,33
Lumimarja,33
Mai-Britt,33
Maija-Sisko,33
Marella,33
Mariliina,33
Mari-Susanna,33
Marleene,33
Merikukka,33
Nikolina,33
Nimco,33
Nyyti,33
Omena,33
Perla,33
Ragnborg,33
Rebeca,33
Rihanna,33
Saad,33
Sandy,33
Sannamaija,33
Sofiel,33
Tessaliina,33
Tiiamari,33
Trine,33
Valentine,33
Wanjiku,33
Villa,33
Wivi,33
Yara,33
Yvette,33
Zofia,33
Adam,32
Adine,32
Adrienne,32
Aliida,32
Aninka,32
Anna-Bella,32
Annalisa,32
Anne-Maaria,32
Anne-Mai,32
Athene,32
Damla,32
de,32
Diem,32
Elke,32
Els-Maj,32
Elza,32
Evie,32
Halina,32
Han,32
Iana,32
Ida-Mari,32
Jiina,32
Kaste-Helmi,32
Kia-Maria,32
Leena-Riitta,32
Leticia,32
Lumi-Kukka,32
Maggie,32
Mairi,32
Marjariitta,32
Merihelmi,32
Merilla,32
Mimoza,32
Miretta,32
Munira,32
Mustikka,32
Neera,32
Nicoline,32
Pasintytär,32
Petra-Maria,32
Roxana,32
Salad,32
Shannon,32
Sini-Sofia,32
Terontytär,32
Tiara,32
Tu,32
Tuomontytär,32
Ulla-Britta,32
Vasilisa,32
Aile,31
Aino-Mari,31
Aino-Marja,31
Amie,31
Ann-Catrine,31
Anne-Helena,31
Anne-Leena,31
Annemi,31
Aretta,31
Beerit,31
Bernadette,31
Bibi,31
Björnsdotter,31
Chioma,31
Crystal,31
De,31
Dunia,31
Edona,31
Edvina,31
Faadumo,31
Gunvi,31
Helny,31
Henna-Riitta,31
Htoo,31
Iivi,31
Ing-Britt,31
Irén,31
Isse,31
Janintytär,31
Jarkontytär,31
Jemilia,31
Jerika,31
Jing,31
Jolie,31
Kaja,31
Kassandra,31
Kathrin,31
Kathy,31
Laura-Maija,31
Leigh,31
Liban,31
Linnèa,31
Luz,31
Mahmoud,31
Mária,31
Maria-Riitta,31
Marja-Anneli,31
Marsa,31
Martintytär,31
Muna,31
Natasa,31
Ninetta,31
Noora-Emilia,31
Otteliana,31
Piita,31
Sabriina,31
Salama,31
Sallamaria,31
Samiira,31
Sanna-Riitta,31
Sari-Susanna,31
Seija-Sisko,31
Senny,31
Sharif,31
Silvana,31
Sini-Pilvi,31
Sini-Vuokko,31
Sirppa,31
Sylvie,31
Taru-Tuulia,31
Tatyana,31
Tiija,31
Tiina-Leena,31
Tähkä,31
Ulfsdotter,31
Uliana,31
Warda,31
Viviane,31
Yuliya,31
Zohra,31
Adile,30
Alaa,30
Alona,30
Annariitta,30
Ann-Cathrine,30
Anni-Helena,30
Arma,30
Athina,30
Cam,30
Carelia,30
Danica,30
Eerontytär,30
Einikki,30
Eiri,30
Eliida,30
Elisia,30
Ellevi,30
Elona,30
Emmie,30
Faisal,30
Faye,30
Hai,30
Hien,30
Ila,30
Ioulia,30
Iselin,30
Janelle,30
Janitta,30
Jasmiin,30
Jenni-Johanna,30
Khanh,30
Liz,30
Love,30
Maija-Kaarina,30
Margret,30
Mari-Annika,30
Marjo-Kaisa,30
Meya,30
Nikolajevna,30
Osmi,30
