"Postal code area","Inhabitants, total, 2018 (HE)","Males, 2018 (HE)","Females, 2018 (HE)"
"16900  Lammi kk (Hämeenlinna)",4664,2328,2336
"16960  Iso-Evo (Hämeenlinna)",158,75,83
"16970  Evo (Hämeenlinna)",72,47,25
"17110  Sipilä (Hollola)",1125,559,566
"17120  Paimela (Hollola)",562,300,262
"17130  Vesivehmaa (Asikkala)",811,422,389
"17150  Urajärvi (Asikkala)",356,192,164
"17200  Vääksy Keskus (Asikkala)",5219,2502,2717
"17220  Pietilä (Asikkala)",157,91,66
"17240  Kalkkinen (Asikkala)",382,218,164
"17320  Asikkala (Asikkala)",323,168,155
"17410  Viitaila (Asikkala)",236,130,106
"17430  Kurhila (Asikkala)",288,152,136
"17440  Vähimaa (Asikkala)",54,27,27
"17450  Iso-Äiniö-Vähimaa (Asikkala)",207,104,103
"17470  Maakeski (Padasjoki)",277,147,130
"17500  Padasjoki Keskus (Padasjoki)",1750,853,897
"17510  Nyystölä (Padasjoki)",240,119,121
"17530  Arrakoski (Padasjoki)",223,120,103
"17610  Auttoinen (Padasjoki)",256,128,128
"17630  Vesijako (Padasjoki)",109,58,51
"17710  Torittu (Padasjoki)",61,31,30
"17740  Kasiniemi-Torittu (Padasjoki)",48,23,25
"17780  Harmoinen (Kuhmoinen)",76,37,39
"17800  Kuhmoinen Keskus (Kuhmoinen)",1764,849,915
"17840  Harjunsalmi (Kuhmoinen)",75,45,30
"17850  Pihlajakoski (Kuhmoinen)",66,36,30
"17870  Ruolahti (Kuhmoinen)",46,26,20
"17930  Päijälä (Kuhmoinen)",75,40,35
"17950  Kylämä (Kuhmoinen)",32,15,17
"17970  Puukkoinen (Kuhmoinen)",34,22,12
"18100  Heinola Keskus (Heinola)",6782,3062,3720
"18120  Reumasairaala-alue (Heinola)",882,442,440
"18130  Tommola-Sahanniemi (Heinola)",1820,898,922
"18150  Jyränkö (Heinola)",2266,1087,1179
"18200  Kaakonlampi-Pyhätön (Heinola)",2071,1010,1061
"18300  Heinola kk (Heinola)",2684,1357,1327
"18600  Myllyoja (Heinola)",809,431,378
"19110  Vierumäki taajama (Heinola)",644,326,318
"19120  Vierumäki urheiluopisto (Heinola)",137,77,60
"19160  Huutotöyry (Iitti)",486,255,231
"19210  Lusi (Heinola)",469,247,222
"19230  Onkiniemi (Sysmä)",110,54,56
"19250  Syrjäkoski (Heinola)",48,24,24
"19260  Paaso-Syrjäkoski (Heinola)",113,65,48
"19310  Karilanmaa (Sysmä)",78,39,39
"19320  Nikkaroinen (Sysmä)",94,49,45
"19370  Nuoramoinen (Sysmä)",382,200,182
"19410  Kuortti (Pertunmaa)",445,231,214
"19420  Mansikkamäki (Pertunmaa)",166,94,72
"19430  Pertunmaa Keskus (Pertunmaa)",707,346,361
"19460  Ruorasmäki (Pertunmaa)",105,54,51
"19470  Lihavanpää-Hartosenpää (Pertunmaa)",160,86,74
"19480  Hartosenpää (Pertunmaa)",71,42,29
"19510  Lepsala (Hartola)",35,20,15
"19540  Koitti-Lepsala (Hartola)",273,152,121
"19600  Hartola Keskus (Hartola)",1988,967,1021
"19610  Murakka (Hartola)",81,48,33
"19620  Pohela (Hartola)",165,84,81
"19630  Kalhonkylä (Hartola)",80,36,44
"19650  Joutsa Keskus (Joutsa)",3271,1625,1646
"19670  Mieskonmäki (Joutsa)",144,84,60
"19700  Sysmä Keskus (Sysmä)",2775,1317,1458
"19730  Särkilampi (Sysmä)",29,...,...
"19740  Liikola (Sysmä)",116,66,50
"19770  Valittula (Sysmä)",128,65,63
"19850  Putkijärvi-Siltasuo (Hartola)",81,48,33
"19910  Tammijärvi (Luhanka)",406,212,194
"19920  Pappinen (Joutsa)",148,89,59
"19950  Luhanka (Luhanka)",294,157,137
"20100  Turku Keskus (Turku)",27104,12440,14664
"20200  Iso-Heikkilä (Turku)",2356,1179,1177
"20210  Pahaniemi (Turku)",4152,2070,2082
"20240  Pansio-Perno (Turku)",5115,2731,2384
"20250  Pitkämäki-Muhkuri (Turku)",744,367,377
"20300  Pohjola-Kastu (Turku)",7078,3362,3716
"20320  Kuninkoja-Mälikkälä (Turku)",16751,7778,8973
"20360  Kärsämäki-Urusvuori-Halinen (Turku)",10930,5183,5747
"20380  Räntämäki-Saramäki (Turku)",2772,1405,1367
"20400  Moisio (Turku)",3416,1674,1742
"20460  Jäkärlä (Turku)",3439,1759,1680
"20500  Vesilinna (Turku)",6580,3042,3538
"20520  Kupittaa (Turku)",3700,1721,1979
"20540  Nummi-Ylioppilaskylä (Turku)",20959,10516,10443
"20610  Varissuo (Turku)",13293,6399,6894
"20660  Littoinen (Kaarina)",7267,3619,3648
"20700  Vartiovuori-Samppalinna (Turku)",5984,2615,3369
"20720  Vasaramäki (Turku)",6333,2825,3508
"20730  Skanssi (Turku)",532,238,294
"20740  Ilpoinen-Harittu (Turku)",9445,4404,5041
"20750  Huhkola-Lauste-Vaala (Turku)",5140,2523,2617
"20760  Piispanristi (Kaarina)",4544,2178,2366
"20780  Kaarina Keskus (Kaarina)",12233,5837,6396
"20800  Ammattikorkeakoulu (Turku)",0,0,0
"20810  Martti-Korppolaismäki (Turku)",17007,7879,9128
"20880  Uittamo (Turku)",4033,1874,2159
"20900  Moikoinen-Pikisaari (Turku)",10026,4796,5230
"20960  Kakskerta (Turku)",1399,707,692
"21100  Naantali Keskus (Naantali)",7014,3214,3800
"21110  Taimo-Nuhjala-Lietsala (Naantali)",7666,3757,3909
"21120  Viherjäinen (Raisio)",1965,1003,962
"21130  Poikko (Naantali)",559,283,276
"21140  Rymättylä Keskus (Naantali)",1246,640,606
"21150  Röölä (Naantali)",296,151,145
"21160  Merimasku (Naantali)",1724,885,839
"21180  Livonsaari (Naantali)",232,126,106
"21195  Velkua (Naantali)",211,102,109
"21200  Raisio Keskus (Raisio)",11989,5644,6345
"21210  Hakinmäki (Raisio)",2503,1268,1235
"21220  Somersoja (Raisio)",1366,692,674
"21230  Lemu (Masku)",1831,931,900
"21240  Askainen Keskus (Masku)",842,428,414
"21250  Masku (Masku)",6569,3343,3226
"21260  Ihala (Raisio)",3541,1783,1758
"21270  Nousiainen (Nousiainen)",4731,2412,2319
"21280  Kuloinen (Raisio)",2506,1258,1248
"21290  Rusko (Rusko)",4349,2173,2176
"21310  Vahto (Rusko)",1775,892,883
"21330  Paattinen (Turku)",1831,918,913
"21340  Tortinmäki (Turku)",508,262,246
"21350  Ilmarinen (Lieto)",2050,1054,996
"21360  Lieto Asemanseutu (Lieto)",1844,958,886
"21370  Aura kk. (Aura)",574,294,280
"21380  Aura Keskus (Aura)",3411,1633,1778
"21410  Vanhalinna (Lieto)",2582,1273,1309
"21420  Lieto Keskus (Lieto)",7956,3845,4111
"21430  Yliskulma (Lieto)",822,420,402
"21450  Tarvasjoki Keskus (Lieto)",1812,899,913
"21480  Prunkila (Marttila)",361,193,168
"21490  Marttila (Marttila)",1142,542,600
"21500  Piikkiö (Kaarina)",7252,3616,3636
"21510  Hevonpää (Paimio)",489,253,236
"21520  Naskarla (Paimio)",4,...,...
"21530  Paimio Keskus (Paimio)",8597,4243,4354
"21540  Preitilä (Paimio)",1308,675,633
"21555  Taatila (Paimio)",323,171,152
"21560  Ollila (Marttila)",495,286,209
"21570  Sauvo Keskus (Sauvo)",2551,1290,1261
"21590  Karuna (Sauvo)",413,222,191
"21600  Parainen Keskus (Pargas)",10576,5189,5387
"21610  Kirjala (Pargas)",1050,541,509
"21620  Kuusisto (Kaarina)",2100,1035,1065
"21630  Lielahti (Pargas)",574,295,279
"21650  Lillandet (Pargas)",419,212,207
"21660  Nauvo Keskus (Pargas)",746,363,383
"21670  Mattnäs-Nötö (Pargas)",202,104,98
"21680  Nötö (Pargas)",8,...,...
"21710  Korppoo Keskus-Utö (Pargas)",650,331,319
"21720  Korpoström (Pargas)",20,...,...
"21740  Utö (Pargas)",48,26,22
"21750  Norrskata (Pargas)",87,48,39
"21760  Houtskär Keskus (Pargas)",398,209,189
"21770  Mossala (Pargas)",120,62,58
"21800  Kyrö (Pöytyä)",2441,1236,1205
"21820  Kumila (Pöytyä)",333,179,154
"21840  Karinainen (Pöytyä)",372,183,189
"21860  Auvainen (Pöytyä)",402,212,190
"21870  Riihikoski (Pöytyä)",1916,966,950
"21880  Pöytyä (Pöytyä)",373,200,173
"21890  Haveri (Pöytyä)",254,131,123
"21900  Yläne Keskus (Pöytyä)",1491,736,755
"21930  Uusikartano (Pöytyä)",527,291,236
"22100  Maarianhamina (Mariehamn)",11748,5615,6133
"22120  Möckelö (Jomala)",954,489,465
"22130  Gottby (Jomala)",876,443,433
"22140  Önningby (Jomala)",1211,640,571
"22150  Jomala Centrum (Jomala)",1937,982,955
"22160  Järsö (Lemland)",359,179,180
"22220  Emkarby (Finström)",393,208,185
"22240  Hammarland (Hammarland)",1540,792,748
"22270  Storby (Eckerö)",933,476,457
"22310  Pålsböle (Finström)",533,273,260
"22320  Ödkarby (Saltvik)",823,425,398
"22330  Tjudö (Finström)",336,164,172
"22340  Geta (Geta)",501,253,248
"22410  Godby (Finström)",1546,750,796
"22430  Saltvik (Saltvik)",731,364,367
"22520  Tosarby (Sund)",502,267,235
"22530  Sund (Sund)",510,265,245
"22550  Vårdö (Vårdö)",419,205,214
"22610  Lemland (Lemland)",1564,786,778
"22630  Lumparland (Lumparland)",398,216,182
"22710  Ålands Degerby (Föglö)",525,273,252
"22720  Sottunga (Sottunga)",88,49,39
"22730  Kökar (Kökar)",231,125,106
"22810  Seglinge (Kumlinge)",42,21,21
"22820  Kumlinge (Kumlinge)",186,103,83
"22830  Enklinge (Kumlinge)",74,39,35
"22840  Lappo (Brändö)",55,35,20
"22910  Torsholma (Brändö)",82,42,40
"22920  Brändö-Åland (Brändö)",145,73,72
"22930  Fiskö (Brändö)",30,14,16
"22940  Åva (Brändö)",94,57,37
"22950  Jurmo (Brändö)",44,19,25
"23100  Mynämäki Keskus (Mynämäki)",6135,3038,3097
"23120  Mietoinen Keskus (Mynämäki)",875,439,436
"23140  Hietamäki (Mynämäki)",658,339,319
"23200  Vinkkilä (Vehmaa)",1551,784,767
"23210  Vehmaa (Vehmaa)",574,286,288
"23260  Rautila (Vehmaa)",186,97,89
"23310  Taivassalo (Taivassalo)",1643,835,808
"23360  Kustavi (Kustavi)",901,474,427
"23390  Iniö (Pargas)",195,100,95
"23450  Lokalahti (Uusikaupunki)",972,502,470
"23500  Uusikaupunki Keskus (Uusikaupunki)",11426,5762,5664
"23600  Kalanti Keskus (Uusikaupunki)",2152,1096,1056
"23660  Kalanti Asemanseutu (Uusikaupunki)",399,197,202
"23800  Laitila Keskus (Laitila)",8277,4135,4142
"23840  Soukainen (Laitila)",94,49,45
"23880  Suontaka (Laitila)",109,61,48
"23930  Pyhämaa (Uusikaupunki)",534,280,254
"23950  Pyhäranta (Pyhäranta)",534,287,247
"23960  Santtio (Pyhäranta)",229,114,115
"24100  Salo Keskus (Salo)",8914,3979,4935
"24130  Ylhäisi (Salo)",3726,1864,1862
"24240  Rappula (Salo)",3894,1844,2050
"24260  Ollikkala (Salo)",4337,2125,2212
"24280  Tupuri-Hähkänä (Salo)",4996,2490,2506
"24800  Halikko Keskus (Salo)",4568,2182,2386
"24910  Halikko Asemanseutu (Salo)",1146,587,559
"25110  Kruusila (Salo)",348,186,162
"25130  Muurla (Salo)",1485,771,714
"25160  Tuohittu (Salo)",111,56,55
"25170  Kotalato (Salo)",138,72,66
"25180  Romsila (Salo)",235,122,113
"25190  Inkere (Salo)",966,514,452
"25210  Vartsala (Salo)",398,206,192
"25230  Angelniemi (Salo)",353,180,173
"25240  Hajala (Salo)",635,337,298
"25250  Märynummi (Salo)",1012,505,507
"25260  Vaskio (Salo)",975,497,478
"25320  Raatala (Salo)",409,217,192
"25330  Kuusjoki Keskus (Salo)",799,404,395
"25340  Kanunki (Salo)",394,214,180
"25360  Pertteli Keskus (Salo)",1206,605,601
"25370  Hiisi (Salo)",663,357,306
"25380  Rekijoki (Salo)",447,223,224
"25390  Kiikala Keskus (Salo)",777,410,367
"25410  Suomusjärvi Keskus (Salo)",1104,548,556
"25420  Lahnajärvi (Salo)",136,69,67
"25430  Kettula (Salo)",66,38,28
"25460  Toija (Salo)",1142,602,540
"25470  Kisko kk (Salo)",276,151,125
"25500  Perniö Keskus (Salo)",3377,1648,1729
"25520  Perniö Asemanseutu (Salo)",614,316,298
"25540  Knaapila (Salo)",205,99,106
"25550  Aijala (Salo)",94,54,40
"25560  Koski Asemanseutu (Salo)",209,115,94
"25570  Teijo-Mathildedal (Salo)",579,287,292
"25610  Ylönkylä (Salo)",383,199,184
"25630  Finby (Salo)",270,136,134
"25640  Förby (Salo)",225,120,105
"25650  Strömma (Kimitoön)",106,57,49
"25660  Mathildedal (Salo)",137,70,67
"25700  Kemiö Keskus (Kimitoön)",2334,1138,1196
"25710  Vreta-Vestlax (Kimitoön)",310,165,145
"25730  Mjösund (Kimitoön)",100,50,50
"25760  Kiila (Kimitoön)",130,71,59
"25810  Mark (Kimitoön)",56,31,25
"25820  Vestlax (Kimitoön)",108,55,53
"25830  Västanfjärd Keskus (Kimitoön)",481,257,224
"25840  Nivelax (Kimitoön)",257,138,119
"25860  Björkboda (Kimitoön)",309,155,154
"25870  Dragsfjärd (Kimitoön)",890,438,452
"25900  Taalintehdas (Kimitoön)",1307,667,640
"25910  Vänoxa (Kimitoön)",10,...,...
"25930  Kasnäs (Kimitoön)",84,39,45
"25940  Hiittinen (Kimitoön)",61,30,31
"25950  Rosala-Kasnäs-Hitis (Kimitoön)",106,59,47
"25960  Högsåra (Kimitoön)",45,17,28
"26100  Rauma Keskus (Rauma)",16089,7651,8438
"26200  Merirauma-Kappelinluhta (Rauma)",4972,2532,2440
"26410  Kaaro (Rauma)",1617,826,791
"26510  Uotila (Rauma)",2601,1354,1247
"26560  Kolla (Rauma)",662,342,320
"26660  Paroalho (Rauma)",4826,2391,2435
"26720  Monnanummi (Rauma)",379,194,185
"26740  Vasarainen (Rauma)",533,279,254
"26820  Sampaanala (Rauma)",1529,825,704
"26840  Kortela (Rauma)",791,416,375
"26910  Unaja (Rauma)",673,336,337
"26930  Vermuntila (Rauma)",600,323,277
"26950  Voiluoto (Rauma)",390,210,180
"27100  Eurajoki Keskus (Eurajoki)",3419,1695,1724
"27110  Irjanne (Eurajoki)",561,285,276
"27130  Eurajoki asemanseutu (Eurajoki)",324,174,150
"27150  Lapijoki (Eurajoki)",1389,792,597
"27160  Olkiluoto (Eurajoki)",0,0,0
"27170  Kuivalahti (Eurajoki)",353,183,170
"27220  Ala-Kieri (Rauma)",613,323,290
"27230  Lappi (Rauma)",2028,1007,1021
"27250  Kodiksami (Rauma)",129,69,60
"27260  Kuolimaa (Rauma)",180,100,80
"27310  Kodisjoki (Rauma)",503,261,242
"27320  Ihode (Pyhäranta)",731,364,367
"27340  Reila (Pyhäranta)",450,243,207
"27400  Kiukainen Keskus (Eura)",1295,645,650
"27420  Panelia Asemanseutu (Eura)",248,123,125
"27430  Panelia (Eura)",1152,589,563
"27450  Harola (Eura)",210,111,99
"27500  Kauttua (Eura)",3215,1615,1600
"27510  Eura Keskus (Eura)",4120,2015,2105
"27600  Hinnerjoki (Eura)",704,368,336
"27640  Honkilahti kk (Eura)",290,149,141
"27650  Honkilahti (Eura)",308,157,151
"27670  Mannila (Eura)",157,85,72
"27710  Köyliö Keskus (Säkylä)",1040,529,511
"27730  Tuiskula (Säkylä)",191,91,100
"27740  Voitoinen (Säkylä)",147,84,63
"27750  Yttilä (Säkylä)",319,168,151
"27800  Säkylä Keskus (Säkylä)",3055,1459,1596
"27820  Iso-Vimma (Säkylä)",712,351,361
"27840  Kakkuri (Säkylä)",429,218,211
"27860  Vuori (Säkylä)",332,175,157
"27910  Huovinrinne (Säkylä)",169,90,79
"27920  Otajoki (Säkylä)",260,138,122
"28100  Pori Keskus (Pori)",12643,5660,6983
"28120  Käppärä-Isomäki (Pori)",3565,1754,1811
"28130  Impola (Pori)",6501,3103,3398
"28190  Pormestarinluoto (Pori)",3764,1766,1998
"28200  Toejoki (Pori)",4850,2401,2449
"28220  Ruosniemi (Pori)",4999,2537,2462
"28240  Isojoenranta (Pori)",764,402,362
"28260  Harjunpää (Ulvila)",975,509,466
"28300  Kalaholma-Väinölä (Pori)",2559,1265,1294
"28330  Koivistonluoto (Pori)",2723,1344,1379
"28360  Vanhakoivisto (Pori)",4068,1909,2159
"28370  Sampola (Pori)",3124,1463,1661
"28400  Ulvila Keskus (Ulvila)",5571,2693,2878
"28430  Kartano-Harmaalinna (Pori)",1605,804,801
"28450  Vanha-Ulvila (Ulvila)",4208,2062,2146
"28500  Keskussairaala-alue-Tiilimäki (Pori)",827,367,460
"28540  Pinomäki (Pori)",613,319,294
"28560  Lattomeri (Pori)",481,251,230
"28580  Niittymaa (Pori)",583,294,289
"28600  Vähärauma (Pori)",5173,2624,2549
"28610  Musa-Tiiliruukki (Pori)",3822,1936,1886
"28660  Pietniemi-Leppäkorpi (Pori)",3734,1826,1908
"28760  Kyläsaari (Pori)",2261,1138,1123
"28800  Pihlava (Pori)",4148,2129,2019
"28840  Yyteri-Kaanaa (Pori)",859,454,405
"28880  Mäntyluoto (Pori)",387,199,188
"28900  Tahkoluoto-Reposaari (Pori)",938,469,469
"29100  Luvia Keskus (Eurajoki)",3076,1546,1530
"29180  Peränkylä (Eurajoki)",247,130,117
"29200  Harjavalta Keskus (Harjavalta)",6962,3387,3575
"29250  Nakkila Keskus (Nakkila)",4628,2279,2349
"29270  Hormisto (Nakkila)",436,225,211
"29280  Järvimaa (Nakkila)",289,151,138
"29310  Kaasmarkku (Ulvila)",548,293,255
"29320  Leineperi (Ulvila)",230,124,106
"29340  Kullaa Keskus (Ulvila)",881,458,423
"29350  Palus (Ulvila)",286,150,136
"29570  Söörmarkku (Pori)",966,489,477
"29600  Noormarkku Keskus (Pori)",4738,2305,2433
"29630  Pomarkku Keskus (Pomarkku)",1849,938,911
"29640  Honkakoski (Pomarkku)",253,126,127
"29680  Kairila (Pori)",288,158,130
"29700  Ahlainen (Pori)",786,404,382
"29720  Lamppi (Pori)",174,80,94
"29740  Etelämaa (Merikarvia)",89,50,39
"29750  Pohjansaha (Merikarvia)",106,53,53
"29760  Köörtilä (Merikarvia)",78,41,37
"29790  Tuorila (Merikarvia)",321,165,156
"29810  Siikainen Keskus (Siikainen)",839,444,395
"29830  Sammi (Siikainen)",187,100,87
"29860  Otamo (Siikainen)",140,80,60
"29880  Leväsjoki-Saarineva (Siikainen)",197,99,98
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",2210,1073,1137
"29940  Kuvaskangas (Merikarvia)",266,143,123
"30100  Forssa Keskus (Forssa)",10243,4965,5278
"30300  Viksberg (Forssa)",2470,1226,1244
"30420  Tölö (Forssa)",4752,2294,2458
"31110  Matku (Forssa)",534,296,238
"31130  Koijärvi (Forssa)",258,142,116
"31140  Menonen (Urjala)",164,76,88
"31160  Nuutajärvi (Urjala)",259,127,132
"31170  Savijoki (Forssa)",200,99,101
"31230  Susikas (Tammela)",187,103,84
"31250  Teuro (Tammela)",219,111,108
"31300  Tammela Keskus (Tammela)",3079,1497,1582
"31310  Mustiala (Tammela)",82,41,41
"31340  Porras (Tammela)",541,290,251
"31350  Vistinkoski (Tammela)",239,126,113
"31370  Eerikkilän Urheiluopisto (Tammela)",0,0,0
"31380  Letku-Torro (Tammela)",324,166,158
"31400  Somero Keskus (Somero)",6119,2936,3183
"31410  Ylöpirtti (Somero)",354,188,166
"31450  Häntälä (Somero)",349,194,155
"31460  Hirsjärvi (Somero)",234,127,107
"31470  Somerniemi (Somero)",669,360,309
"31490  Terttilä (Somero)",231,124,107
"31500  Koski Tl (Koski Tl)",2342,1159,1183
"31520  Pitkäjärvi (Somero)",503,259,244
"31530  Pyöli (Somero)",318,167,151
"31600  Jokioinen Keskus (Jokioinen)",3604,1756,1848
"31610  Vaulammi (Jokioinen)",445,226,219
"31620  Latovainio (Jokioinen)",389,198,191
"31630  Minkiö (Jokioinen)",579,306,273
"31640  Humppila Keskus (Humppila)",1971,977,994
"31650  Venäjänkangas (Humppila)",267,150,117
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",1414,735,679
"31720  Urjalankylä-Kehro (Urjala)",388,194,194
"31730  Honkola (Urjala)",114,59,55
"31750  Kehro (Urjala)",55,26,29
"31760  Urjala Keskus (Urjala)",1871,878,993
"31810  Oriniemi (Punkalaidun)",404,202,202
"31830  Halkivaha (Urjala)",268,145,123
"31850  Koskioinen (Punkalaidun)",145,71,74
"31860  Tursa (Urjala)",278,161,117
"31900  Punkalaidun Keskus (Punkalaidun)",1785,888,897
"31930  Vanttila (Punkalaidun)",119,71,48
"31950  Sadonmaa (Punkalaidun)",157,83,74
"31960  Orisuo (Loimaa)",69,42,27
"31970  Kanteenmaa (Punkalaidun)",154,89,65
"32100  Ypäjä Keskus (Ypäjä)",1987,992,995
"32140  Ypäjä Asemanseutu (Ypäjä)",300,155,145
"32200  Loimaa Keskus (Loimaa)",8156,3846,4310
"32210  Loimaa kk (Loimaa)",2311,1161,1150
"32250  Kojonkulma (Loimaa)",304,159,145
"32260  Kojonperä (Loimaa)",156,81,75
"32270  Metsämaa-Murto (Loimaa)",461,248,213
"32280  Metsäkorpi (Loimaa)",173,89,84
"32300  Mellilä (Loimaa)",1257,676,581
"32410  Niinijoki (Loimaa)",558,306,252
"32430  Ylhäinen (Loimaa)",79,42,37
"32440  Alastaro Keskus (Loimaa)",1763,908,855
"32450  Tammiainen (Loimaa)",261,145,116
"32500  Oripää Keskus (Oripää)",1185,600,585
"32520  Latva (Oripää)",150,87,63
"32560  Virttaa (Loimaa)",453,235,218
"32610  Vampula Keskus (Huittinen)",990,508,482
"32620  Rutava (Huittinen)",378,212,166
"32700  Huittinen Keskus (Huittinen)",7673,3713,3960
"32710  Sampu (Huittinen)",599,312,287
"32730  Keikyä (Sastamala)",723,359,364
"32740  Äetsä Keskus (Sastamala)",1733,873,860
"32760  Suttila (Huittinen)",157,85,72
"32770  Huhtamo (Huittinen)",224,121,103
"32800  Kokemäki Keskus (Kokemäki)",3882,1880,2002
"32810  Peipohja (Kokemäki)",1793,903,890
"32830  Riste (Kokemäki)",449,219,230
"32860  Korkeaoja (Kokemäki)",148,88,60
"32910  Kauvatsa Asemanseutu (Kokemäki)",289,155,134
"32920  Kauvatsa (Kokemäki)",551,288,263
"33100  Tampere Keskus (Tampere)",17317,8165,9152
"33180  Lapinniemi-Käpylä (Tampere)",2330,1023,1307
"33200  Tampere Keskus Läntinen (Tampere)",6479,2968,3511
"33210  Itä-Amuri-Tammerkoski (Tampere)",5998,2751,3247
"33230  Länsi-Amuri (Tampere)",6059,2742,3317
"33240  Tahmela (Tampere)",1637,822,815
"33250  Pispala (Tampere)",2316,1132,1184
"33270  Epilä (Tampere)",7536,3567,3969
"33300  Rahola (Tampere)",5148,2480,2668
"33310  Tesoma (Tampere)",7449,3460,3989
"33330  Myllypuro-Kalkku (Tampere)",3371,1675,1696
"33340  Haukiluoma-Ikuri (Tampere)",5304,2597,2707
"33380  Pitkäniemi (Nokia)",31,22,9
"33400  Luoteis-Tampere (Tampere)",8891,4245,4646
"33410  Lentävänniemi (Tampere)",4888,2265,2623
"33420  Lamminpää (Tampere)",2044,1005,1039
"33430  Vuorentausta (Ylöjärvi)",2889,1436,1453
"33450  Siivikkala (Ylöjärvi)",2938,1509,1429
"33470  Ylöjärvi Keskus (Ylöjärvi)",6148,2936,3212
"33480  Manninmäki-Haavisto (Ylöjärvi)",7483,3624,3859
"33500  Osmonmäki-Petsamo (Tampere)",11335,5066,6269
"33520  Keskussairaala-alue-Kauppi (Tampere)",955,503,452
"33530  Kissanmaa (Tampere)",4985,2537,2448
"33540  Kaleva (Tampere)",9901,4544,5357
"33560  Takahuhti (Tampere)",10184,4757,5427
"33580  Atala-Linnainmaa (Tampere)",15512,7467,8045
"33610  Olkahinen-Tasanne (Tampere)",3820,1894,1926
"33680  Aitolahti (Tampere)",1646,844,802
"33700  Messukylä (Tampere)",1715,874,841
"33710  Kaukajärvi (Tampere)",18542,8968,9574
"33720  Hervanta (Tampere)",25326,13450,11876
"33730  Leinola-Vehmainen (Tampere)",2028,1056,972
"33800  Nekala (Tampere)",5382,2695,2687
"33820  Koivistonkylä (Tampere)",9065,4518,4547
"33840  Peltolammi (Tampere)",3325,1646,1679
"33850  Multisilta (Tampere)",2415,1166,1249
"33870  Vuores (Tampere)",5056,2480,2576
"33880  Höytämö (Lempäälä)",3768,1909,1859
"33900  Härmälä-Rantaperkiö (Tampere)",12077,5701,6376
"33920  Toivio (Pirkkala)",1250,628,622
"33950  Killo (Pirkkala)",5833,2877,2956
"33960  Suuppa (Pirkkala)",10572,5178,5394
"33980  Pirkkala kk (Pirkkala)",1466,775,691
"34110  Lakiala (Ylöjärvi)",1353,700,653
"34130  Ylinen (Ylöjärvi)",1258,684,574
"34140  Mutala (Ylöjärvi)",797,406,391
"34150  Kyrönlahti (Ylöjärvi)",388,205,183
"34180  Länsi-Teisko (Ylöjärvi)",150,87,63
"34240  Kämmenteisko (Tampere)",1697,875,822
"34260  Terälahti (Tampere)",879,450,429
"34270  Velaatta (Tampere)",295,163,132
"34300  Kuru Keskus (Ylöjärvi)",1429,741,688
"34320  Parkkuu (Ylöjärvi)",209,111,98
"34330  Poikelus (Ylöjärvi)",245,133,112
"34410  Murole (Ruovesi)",179,90,89
"34420  Muroleen Kanava (Ruovesi)",48,24,24
"34430  Kekkonen (Ruovesi)",117,57,60
"34450  Jäminkipohja (Ruovesi)",325,192,133
"34510  Luode (Ylöjärvi)",103,53,50
"34530  Länsi-Aure (Ylöjärvi)",65,37,28
"34550  Itä-Aure (Ylöjärvi)",147,92,55
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",2494,1170,1324
"34640  Mustajärvi (Ruovesi)",208,109,99
"34710  Vaskivesi (Virrat)",340,181,159
"34730  Vaskuu (Virrat)",102,57,45
"34740  Koro (Virrat)",75,44,31
"34770  Kurjenkylä (Virrat)",220,119,101
"34800  Virrat Keskus (Virrat)",4452,2184,2268
"34870  Visuvesi (Ruovesi)",539,288,251
"34910  Äijänneva (Virrat)",99,59,40
"34930  Liedenpohja (Virrat)",290,150,140
"34950  Ohtola (Virrat)",213,105,108
"34970  Toisvesi (Virrat)",110,54,56
"34980  Killinkoski (Virrat)",365,179,186
"35100  Orivesi Asemanseutu (Orivesi)",2921,1489,1432
"35220  Eräjärvi (Orivesi)",505,253,252
"35240  Ristakallio (Orivesi)",176,84,92
"35260  Leväslahti (Orivesi)",9,...,...
"35270  Västilä (Orivesi)",151,79,72
"35300  Orivesi Keskus (Orivesi)",4591,2178,2413
"35320  Hirsilä (Orivesi)",561,298,263
"35400  Länkipohja (Jämsä)",854,455,399
"35420  Talviainen (Orivesi)",102,53,49
"35480  Längelmäki (Orivesi)",61,34,27
"35500  Korkeakoski (Juupajoki)",1026,521,505
"35520  Pirttikangas (Juupajoki)",75,39,36
"35530  Lyly (Juupajoki)",278,142,136
"35540  Juupajoki (Juupajoki)",403,213,190
"35550  Salokunta (Juupajoki)",157,78,79
"35600  Halli (Jämsä)",1266,649,617
"35610  Pihlaisto (Jämsä)",81,39,42
"35630  Suinula-Valkamanperä (Jämsä)",161,83,78
"35700  Vilppula Keskus (Mänttä-Vilppula)",3127,1570,1557
"35740  Ylä-Vääri (Ruovesi)",104,50,54
"35750  Väärinmaja (Ruovesi)",283,149,134
"35800  Mänttä (Mänttä-Vilppula)",4019,1888,2131
"35820  Asemakulma-Mustalahti (Jämsä)",2035,1069,966
"35990  Kolho (Mänttä-Vilppula)",1054,539,515
"36100  Kangasala Asemanseutu (Kangasala)",1321,687,634
