Sukunimi,Nimenhaltijoita yhteensä
Mamia,175
Partonen,175
Pieskä,175
Pitkäkoski,175
Riippa,175
Rintakoski,175
Salonsaari,175
Sillankorva,175
Talus,175
Vinberg,175
Alahäivälä,174
Alasuutari,174
Gripenberg,174
Halenius,174
Honko,174
Hovinen,174
Hujala,174
Hukari,174
Huldén,174
Höijer,174
Jåfs,174
Korkatti,174
Korpikoski,174
Levy,174
Länsman,174
Metsä,174
Pääkkölä,174
Raja,174
Saapunki,174
Sauvola,174
Seppäläinen,174
Simojoki,174
Svenlin,174
Taiminen,174
Tiiro,174
Wetterstrand,174
Vähälä,174
Haaraniemi,173
Hettula,173
Hohenthal,173
Kantoniemi,173
Kaukua,173
Keijonen,173
Kesälahti,173
Kylmäluoma,173
Oivanen,173
Porola,173
Pöytälaakso,173
Santaharju,173
Savo,173
Schildt,173
Skön,173
Syrén,173
Talsi,173
Tirroniemi,173
Torvikoski,173
Tuure,173
Vahvaselkä,173
Valkealahti,173
Viikilä,173
Ahlbäck,172
Ahokainen,172
Berggren,172
Degerman,172
Dunder,172
Etula,172
Hilander,172
Humalamäki,172
Isotalus,172
Juppi,172
Kaipia,172
Kekarainen,172
Kurikkala,172
Leppikangas,172
Matalamäki,172
Patana,172
Pohjanheimo,172
Pösö,172
Stjernberg,172
Suvela,172
Säde,172
Vanhamäki,172
Velling,172
Vättö,172
Arvila,171
Borén,171
Fast,171
Felin,171
Ferm,171
Hannu,171
Havana,171
Huvila,171
Kaihua,171
Kangasharju,171
Kasari,171
Kyöstilä,171
Lampola,171
Lehmusto,171
Meyer,171
Mätäsaho,171
Niskakoski,171
Nord,171
Paasi,171
Pilli,171
Ruohoniemi,171
Salmu,171
Suikkari,171
Vaaranmaa,171
Vakkila,171
Ylilehto,171
Aspelin,170
Goman,170
Kerkkänen,170
Kiikka,170
Kuurne,170
Lapinkangas,170
Linjama,170
Mandelin,170
Nikitin,170
Nykyri,170
Piikkilä,170
Piltonen,170
Rantakallio,170
Tero,170
Urpalainen,170
Valkeejärvi,170
Velin,170
Eränen,169
Heikonen,169
Huhtakallio,169
Huotarinen,169
Johansen,169
Jokihaara,169
Kukkurainen,169
Lahdenranta,169
Liljestrand,169
Melto,169
Mussalo,169
Ohra-aho,169
Puustelli,169
Pystynen,169
Solehmainen,169
Turtia,169
Vakkala,169
Viemerö,169
Åkerfelt,169
Äijänen,169
Öst,169
Ahvenlampi,168
Airikka,168
Beijar,168
Etholén,168
Fränti,168
Hanhineva,168
Henttunen,168
Hoppula,168
Iskanius,168
Kihlström,168
Kirvesniemi,168
Kitinoja,168
Lackman,168
Litja,168
Niemimäki,168
Nihtilä,168
Peltokoski,168
Tiuraniemi,168
Toukola,168
Ainali,167
Brännbacka,167
Elf,167
Hovilainen,167
Hynnä,167
Kinos,167
Korelin,167
Korpisalo,167
Koskensalo,167
Koukka,167
Kultala,167
Laajala,167
Laivamaa,167
Markkinen,167
Nuojua,167
Passoja,167
Patokoski,167
Rahman,167
Ronimus,167
Ruusu,167
Selonen,167
Siikavirta,167
Soudunsaari,167
Uusivirta,167
Ylikorpi,167
Andersen,166
Huvinen,166
Idman,166
Inkeröinen,166
Judin,166
Kekola,166
Kiesi,166
Kollin,166
Kotimäki,166
Käld,166
Molin,166
Pöyliö,166
Rehula,166
Riihiluoma,166
Rikkola,166
Rupponen,166
Rönnlund,166
Röytiö,166
Arvo,165
Chen,165
Haanperä,165
Hilpinen,165
Imponen,165
Kentala,165
Lastikka,165
Lindevall,165
Metsävainio,165
Niklander,165
Nur,165
Nurmiranta,165
Pirttiniemi,165
Porkola,165
Rindell,165
Saartoala,165
Salmivaara,165
Sulkava,165
Suutala,165
Uusi-Illikainen,165
Vallo,165
Vihriälä,165
Askolin,164
Byckling,164
Fransman,164
Houni,164
Ilander,164
Joutjärvi,164
Junnonen,164
Jääskä,164
Keituri,164
Kekäle,164
Kiljander,164
Klockars,164
Kuusisaari,164
Lehtomaa,164
Loman,164
Louhela,164
Loukasmäki,164
Meskus,164
Nikko,164
Pelto,164
Peltoperä,164
Rantsi,164
Seger,164
Solja,164
Vekkeli,164
Henell,163
Holmsten,163
Härkälä,163
Isotupa,163
Jukkala,163
Kansanaho,163
Karisto,163
Kääntä,163
Laivo,163
Lam,163
Lamminsivu,163
Mathlin,163
Miilumäki,163
Pahkasalo,163
Paloviita,163
Pylsy,163
Riuttanen,163
Ruismäki,163
Rönnblad,163
Savilahti,163
Untinen,163
Virén,163
Vähäjylkkä,163
Översti,163
Biström,162
Höykinpuro,162
Kirjalainen,162
Kulppi,162
Lampimäki,162
Lundin,162
Niinivaara,162
Oras,162
Orell,162
Patrakka,162
Pisto,162
Raijas,162
Saurén,162
Sivunen,162
Snicker,162
Ulvila,162
Welander,162
Zitting,162
Ala-aho,161
Fischer,161
Granskog,161
Halvari,161
Hedström,161
Heiniluoma,161
Huurre,161
Hämeenaho,161
Jatkola,161
Joentakanen,161
Junni,161
Kuntonen,161
Kurhela,161
Liu,161
Luuri,161
Lähdeaho,161
Mansikkaviita,161
Mela,161
Packalen,161
Pekurinen,161
Pietinen,161
Potila,161
Pylväinen,161
Pyötsiä,161
Päivärinne,161
Ravi,161
Rönty,161
Said,161
Sanaksenaho,161
Saramäki,161
Simelius,161
Vahvelainen,161
Aitta,160
Alkula,160
Appel,160
Broberg,160
Grönblom,160
Harmanen,160
Hopiavuori,160
Högman,160
Kaistinen,160
Kovala,160
Kuoppa,160
Lehtiranta,160
Lehtoniemi,160
Lyttinen,160
Munck,160
Norppa,160
Ollakka,160
Petrelius,160
Pihala,160
Pohjoisaho,160
Pänkäläinen,160
Ruti,160
Sarkola,160
Sinivaara,160
Granat,159
Hökkä,159
Iljin,159
Ilo,159
Kakkinen,159
Krasniqi,159
Lopperi,159
Majoinen,159
Palkeinen,159
Riihonen,159
Schneider,159
Seitsonen,159
Smura,159
Stranden,159
Suovanen,159
Sääski,159
Ylihärsilä,159
Öberg,159
Heide,158
Huotilainen,158
Härkin,158
Kalli,158
Kangastie,158
Kelahaara,158
Kellosaari,158
Kontola,158
Kurittu,158
Kyösti,158
Laitio,158
Lapinoja,158
Lavi,158
Muli,158
Nynäs,158
Oiva,158
Ollikka,158
Piili,158
Puukka,158
Qvarnström,158
Satola,158
Savimäki,158
Simi,158
Sjövall,158
Soinio,158
Taimisto,158
Toijonen,158
Tornikoski,158
Törnblom,158
Vidjeskog,158
Viiru,158
Ahlman,157
Ahomäki,157
Alakotila,157
Bremer,157
Haaponiemi,157
Hurtta,157
Juntto,157
Jylhä-Ollila,157
Kaario,157
Kallo,157
Korpimäki,157
Lehtosalo,157
Leppälahti,157
Levä,157
Loikas,157
Munnukka,157
Papinaho,157
Paussu,157
Pöykkö,157
Stolpe,157
Stålhammar,157
Tujunen,157
Ukonaho,157
Vähäkainu,157
Yritys,157
Dahlin,156
Halén,156
Hamberg,156
Helppi,156
Hirsikangas,156
Hohti,156
Jauhojärvi,156
Kemilä,156
Kontto,156
Maljanen,156
Marttunen,156
Mäkipelto,156
Mölkänen,156
Nevanpää,156
Nikupeteri,156
Ollonqvist,156
Raja-aho,156
Rehnström,156
Ruissalo,156
Santikko,156
Sevon,156
Sulkanen,156
Särkioja,156
Trogen,156
Tuikkala,156
Utter,156
Aakula,155
Christensen,155
Franssila,155
Hautalahti,155
Hoffman,155
Kynkäänniemi,155
Kyyrä,155
Lanne,155
Nybom,155
Pärkkä,155
Rosenlöf,155
Räikkä,155
Seppinen,155
Silvander,155
Skarp,155
Ståhle,155
Säämänen,155
Tekoniemi,155
Tikkamäki,155
Valentin,155
Vasankari,155
Villberg,155
Abdullah,154
Alonen,154
Fjäder,154
Grönmark,154
Haipus,154
Hunnakko,154
Jukkara,154
Karinkanta,154
Kurtén,154
Kylmäniemi,154
Laitakari,154
Loikala,154
Mustanoja,154
Nirkkonen,154
Ojakoski,154
Pitkä,154
Portti,154
Reinilä,154
Samppala,154
Schröder,154
Store,154
Suoninen,154
Tavasti,154
Tenhonen,154
Vu,154
Collan,153
Franck,153
Hatunen,153
Hiekkala,153
Hintsa,153
Hätälä,153
Ingberg,153
Kannosto,153
Kesäniemi,153
Kilpiäinen,153
Kontulainen,153
Kultti,153
Kylmämaa,153
Mäntyharju,153
Pohjavirta,153
Pylvänen,153
Riepponen,153
Röyttä,153
Sara,153
Vahteristo,153
Viippola,153
Wikstedt,153
Vinkki,153
Aikioniemi,152
Barsk,152
Broström,152
Frantti,152
Heiman,152
Holmgren,152
Hämeenkorpi,152
Hölsö,152
Jarkko,152
Joutsi,152
Kaaja,152
Kajanus,152
Karlstedt,152
Kyytsönen,152
Lallo,152
Lehmussaari,152
Lukkaroinen,152
Luomajoki,152
Piskonen,152
Portaankorva,152
Poukkula,152
Pyhtilä,152
Ruokokoski,152
Schultz,152
Suojoki,152
Wickman,152
Viitikko,152
Wiksten,152
Vilokkinen,152
Virtamo,152
Ylinampa,152
Öström,152
Arbelius,151
Ekdahl,151
Erkko,151
Hallenberg,151
Hankala,151
Helsing,151
Huisman,151
Ilmola,151
Jonninen,151
Kahilainen,151
Kamila,151
Karjaluoto,151
Kumlin,151
Kärsämä,151
Lantela,151
Liikka,151
Lindgrén,151
Lukander,151
Malén,151
Mört,151
Nolvi,151
Nymark,151
Paloposki,151
Piippola,151
Prusti,151
Pönkä,151
Rajalahti,151
Raski,151
Reis,151
Rimpilä,151
Savenius,151
Semi,151
Sirniö,151
Taimela,151
Tajakka,151
Teerimäki,151
Tuomiranta,151
Vanhalakka,151
Äyräs,151
Biskop,150
Eliasson,150
Hautsalo,150
Heittola,150
Hämynen,150
Kamppi,150
Kamppuri,150
Karasti,150
Karikoski,150
Klingberg,150
Luukas,150
Länkinen,150
Mansikka-aho,150
Merikoski,150
Merisaari,150
Nuolioja,150
Ohenoja,150
Outila,150
Puikko,150
Samuelsson,150
Sihto,150
Vieri,150
Visti,150
Ylärakkola,150
Astala,149
Axelsson,149
Hirsi,149
Hyle,149
Häyry,149
Intonen,149
Isosalo,149
King,149
Klami,149
Lahnalampi,149
Liuksiala,149
Loukonen,149
Lääkkö,149
Muittari,149
Mäkikangas,149
Mäkäläinen,149
Nystén,149
Ojaranta,149
Oravasaari,149
Orenius,149
Repola,149
Röyskö,149
Selkäinaho,149
Silván,149
Tohmo,149
Valkila,149
Varpenius,149
Viiala,149
Viitaharju,149
Aromäki,148
Autero,148
Berlin,148
Fallström,148
Haho,148
Helanen,148
Huynh,148
Högberg,148
Kansikas,148
Kipinoinen,148
Klemettinen,148
Lanu,148
Larikka,148
Loukiainen,148
Puittinen,148
Rautala,148
Ruutu,148
Saviaro,148
Siuruainen,148
Smedberg,148
Sukuvaara,148
Tenho,148
Tuimala,148
Varjoranta,148
Viitakangas,148
Ylänne,148
Ahlbom,147
Erkinheimo,147
Heimola,147
Hietarinta,147
Hupli,147
Hyrkkänen,147
Jakku,147
Jussinniemi,147
Kaijalainen,147
Keso,147
Kettinen,147
Korpilahti,147
Kortesmäki,147
Korvala,147
Kostet,147
Koukkunen,147
Laanti,147
Lautanen,147
Linko,147
Luostari,147
Majalahti,147
Patosalmi,147
Peuranen,147
Piekkari,147
Rauha,147
Rautajoki,147
Roslund,147
Sirainen,147
Skippari,147
Snygg,147
Tapanila,147
Torkki,147
Vehkamäki,147
Zilliacus,147
Arppe,146
Backholm,146
Holmén,146
Huhtamella,146
Kalmi,146
Kasper,146
Kaur,146
Keskikallio,146
Kettu,146
Kopakkala,146
Kurula,146
Nikkarinen,146
Norrman,146
Nurmilaukas,146
Rasmussen,146
Saksala,146
Sell,146
Sinervä,146
Tammisalo,146
Viuhko,146
Vuohijoki,146
Alhola,145
Heinimäki,145
Hotari,145
Huhtasalo,145
Häsä,145
Kantojärvi,145
Kudjoi,145
Kähtävä,145
Lehmusvuori,145
Ottelin,145
Pallonen,145
Porri,145
Riiheläinen,145
Vallittu,145
Vartiala,145
Aittamäki,144
Dahlbacka,144
Kinnarinen,144
Kronlund,144
Käsnänen,144
Lavikka,144
Lokkila,144
Lönngren,144
Maikola,144
Moliis,144
Orrenmaa,144
Ruusila,144
Simons,144
Torri,144
Tykkä,144
Vihtonen,144
Vuollo,144
Yilmaz,144
Elsilä,143
Frilund,143
Homanen,143
Illi,143
Jehkonen,143
Jernström,143
Kytöharju,143
Kölhi,143
Lähteenkorva,143
Paatero,143
Pirttisalo,143
Planting,143
Rikkilä,143
Sadeharju,143
Sallila,143
Salmikivi,143
Sammallahti,143
Saranen,143
Sillanmäki,143
Snäll,143
Stjerna,143
Utunen,143
Västilä,143
Björkgren,142
Bui,142
Ehrukainen,142
Gädda,142
Heikola,142
Isopoussu,142
Jumpponen,142
Kastikainen,142
Koskenoja,142
Lager,142
Lassi,142
Leisti,142
Linnanen,142
Luhanko,142
Nikku,142
Niku,142
Nurmenniemi,142
Perko,142
Porrassalmi,142
Prinkkilä,142
Pynttäri,142
Rahkala,142
Rasanen,142
Rosenholm,142
Rumpunen,142
Saarenketo,142
Sallmén,142
Salmivuori,142
Soinila,142
Thil,142
Warsame,142
Weber,142
Vehkakoski,142
Vormisto,142
Ylilammi,142
Adler,141
Bamberg,141
Hackman,141
Helisten,141
Hernberg,141
Hirvikallio,141
Husa,141
Häggqvist,141
Into,141
Jokio,141
Järvitalo,141
Kaari,141
Kahra,141
Kahri,141
Konga,141
Lifländer,141
Niittylä,141
Nurmimäki,141
Peni,141
Pispa,141
Pohjala,141
Pohjanpalo,141
Rantatalo,141
Ranttila,141
Rauvola,141
Rehnberg,141
Rintamaa,141
Riuttala,141
Räbinä,141
Sorvo,141
Walden,141
Vendelin,141
Vertainen,141
Vähäkoski,141
Ala-Nikkola,140
Björkström,140
Gröning,140
Heikkuri,140
Ivanova,140
Jänis,140
Kakriainen,140
Karp,140
Keiski,140
Kilpijärvi,140
Kontu,140
Korpua,140
Koskenmäki,140
Laapas,140
Laatunen,140
Liljeblad,140
Mastokangas,140
Metsäpelto,140
Mokko,140
Nyrhilä,140
Paganus,140
Patja,140
Perkola,140
Sundgren,140
Sydänmaanlakka,140
Tawast,140
Töyry,140
Vesander,140
Voipio,140
Vulli,140
Vuorensola,140
Äikää,140
And,139
Arvio,139
Auramo,139
Herukka,139
Holmroos,139
Hourula,139
Huhtaniska,139
Huhtilainen,139
Isokorpi,139
Judén,139
Kirsi,139
Lydman,139
Meriö,139
Multala,139
Mäkimattila,139
Niutanen,139
Pastinen,139
Perä,139
Ponkala,139
Puronaho,139
Pylkäs,139
Rapakko,139
Ristiniemi,139
Roslöf,139
Ryymin,139
Sotaniemi,139
Sunell,139
Suontama,139
Taivalkoski,139
Tuurala,139
Törhönen,139
Uoti,139
von Hertzen,139
Airo,138
Alakangas,138
Avelin,138
Hakoniemi,138
Hangasmaa,138
Heinikainen,138
Hiekka,138
Jetsu,138
Junninen,138
Kaappola,138
Kaivosoja,138
Kalske,138
Karhumäki,138
Kauria,138
Kavonius,138
Keckman,138
Kivisalo,138
Kotiniemi,138
Kristola,138
Kvarnström,138
Laalo,138
Lakkapää,138
Latomäki,138
Lukinmaa,138
Mouhu,138
Priha,138
Rimpioja,138
Rokala,138
Räntilä,138
Sivenius,138
Sukari,138
Tast,138
Uhlbäck,138
Allen,137
Antfolk,137
Bodbacka,137
Bussman,137
Fant,137
Hakula,137
Hansén,137
Herlin,137
Hietaoja,137
Hjerpe,137
Huhdanpää,137
Kiviahde,137
Kollanus,137
Kotisaari,137
Lipsonen,137
Luhtaniemi,137
Multamäki,137
Mäkimartti,137
Olofsson,137
Pellas,137
Puntanen,137
Pönkkä,137
Riekkola,137
Silenius,137
Taivalantti,137
Thylin,137
Törmäkangas,137
Uunila,137
Väljä,137
Eskelin,136
Hagnäs,136
Hakalahti,136
Humaloja,136
Höylä,136
Kaijala,136
Kentta,136
Kenttämaa,136
Kinisjärvi,136
Ljungqvist,136
Luhta,136
Lääti,136
Mikkelä,136
Mustajoki,136
Nabb,136
Nahkuri,136
Perttola,136
Pessinen,136
Reuna,136
Salokorpi,136
Sario,136
Siika-aho,136
Suksi,136
Särkilahti,136
Tapaninaho,136
Thomas,136
Ulander,136
Willström,136
Bengtsson,135
Flygare,135
Gerkman,135
Gullsten,135
Haarahiltunen,135
Keskisarja,135
Koirikivi,135
Koskivaara,135
Lönnroos,135
Mastomäki,135
Mäkirinta,135
Näkkäläjärvi,135
Pajulahti,135
Passila,135
Poropudas,135
Pukarinen,135
Pyhältö,135
Rötkö,135
Sampo,135
Suvitie,135
Tulppo,135
Utti,135
Virsu,135
Ärling,135
Antinaho,134
Anttinen,134
Ehrström,134
Green,134
Hanttu,134
Heikkola,134
Honkakoski,134
Ilmasti,134
Juntura,134
Kauppala,134
Kemell,134
Kossi,134
Kostiander,134
Kynsijärvi,134
Mustapää,134
Ollitervo,134
Painilainen,134
Pakola,134
Porko,134
Qvintus,134
Redsven,134
Rieppo,134
Röpelinen,134
Sakari,134
Siivikko,134
Sippo,134
Sissala,134
Teronen,134
Tertsunen,134
Uutinen,134
Vatjus,134
Viksten,134
Vuorenoja,134
Välkkilä,134
Akkila,133
Antman,133
Feodoroff,133
Hagberg,133
Hellqvist,133
Ihanainen,133
Iinatti,133
Kaarlejärvi,133
Kaitainen,133
Kananoja,133
Keisanen,133
Kupias,133
Latvaniemi,133
Leväniemi,133
Norja,133
Norri,133
Nuppola,133
Nättinen,133
Pyymäki,133
Rajasalo,133
Ramsay,133
Roiko,133
Saviluoto,133
Siikala,133
Strandvall,133
Supperi,133
Tanni,133
Teitto,133
Toiva,133
Uschanov,133
Vainiola,133
Vanonen,133
Ylämäki,133
Aikkila,132
Almgren,132
Elmi,132
Herronen,132
Huunonen,132
Jauhola,132
Jussilainen,132
Kotomäki,132
Lääveri,132
Murtovaara,132
Nirkko,132
Orjala,132
Patala,132
Paulus,132
Penna,132
Piekkola,132
Riepula,132
Storgård,132
Styrman,132
Taari,132
Tuoma,132
Tusa,132
Välisaari,132
Ylösmäki,132
Äärelä,132
Adam,131
Ajo,131
Ansio,131
Anteroinen,131
Autioniemi,131
Brunila,131
Estola,131
Hietapakka,131
Ivanov,131
Järnefelt,131
Kapulainen,131
Koramo,131
Korkeaniemi,131
Koskivuori,131
Kriikkula,131
Kropsu,131
Luojus,131
Meinander,131
Mustafa,131
Norrbacka,131
Ojanaho,131
Okko,131
Pekuri,131
Putaansuu,131
Rintaniemi,131
Santonen,131
Sarjanen,131
Sarvela,131
Savelius,131
Sundbäck,131
Tasanko,131
Tiitola,131
Valikainen,131
Waltari,131
Vatka,131
Viro,131
af Hällström,130
Andsten,130
Ankkuri,130
Dahlblom,130
Demir,130
Friis,130
Heinisuo,130
Hoang,130
Inget,130
Joenpolvi,130
Jyrälä,130
Kanervisto,130
Kuhlberg,130
Kuoppamaa,130
Kurttio,130
Kärpänen,130
Laapio,130
Laulaja,130
Lintumäki,130
Lohva,130
Länsimäki,130
Mattola,130
Mitts,130
Muhola,130
Multisilta,130
Muotio,130
Mäkiö,130
Nyfelt,130
Onkalo,130
Pikkuhookana,130
Puhto,130
Pura,130
Sandgren,130
Sievers,130
Siipo,130
Taskula,130
Tuulensuu,130
Viander,130
Vihanta,130
Wirkkala,130
von Schantz,130
Ahlsved,129
Asiala,129
Enbuska,129
Federley,129
Harlin,129
Hertell,129
Isokallio,129
Katiska,129
Kniivilä,129
Kovaniemi,129
Kuuskoski,129
Kärjä,129
Lammila,129
Laxström,129
Leväinen,129
Linnavuori,129
Lundmark,129
Luomaranta,129
Lönnström,129
Matala,129
Meklin,129
Mettänen,129
Modig,129
Mustamäki,129
Mäntykenttä,129
Märsylä,129
Nokela,129
Paul,129
Petrov,129
Rosten,129
Ruth,129
Snåre,129
Svartström,129
Taanila,129
Tatti,129
Teivainen,129
Thors,129
Torsti,129
Törn,129
Vapola,129
Wass,129
Westberg,129
Wolff,129
Väärä,129
Ääri,129
Antinoja,128
Bergius,128
Böckerman,128
Fomin,128
Harjuniemi,128
Harmoinen,128
Hoisko,128
Kangosjärvi,128
Kevin,128
Konsti,128
Kursu,128
Ljungberg,128
Mara,128
Mäntyranta,128
Putus,128
Pyylampi,128
Rapatti,128
Reittu,128
Rintaluoma,128
Räisä,128
Sagulin,128
Sahla,128
Sotkasiira,128
Sällström,128
Säynäjoki,128
Torvela,128
Turula,128
Urhonen,128
Vavuli,128
Vedenoja,128
Vehkalampi,128
Viren,128
Vuolukka,128
Zitron,128
Aavikko,127
Alaspää,127
Byskata,127
Dahir,127
Hilliaho,127
Holck,127
Idström,127
Kallatsa,127
Kaunonen,127
Kärenlampi,127
Lagerroos,127
Larinen,127
Leiniö,127
Littunen,127
Liuha,127
Lähteenmaa,127
Matkaselkä,127
Mieskonen,127
Munkki,127
Nalli,127
Pakonen,127
Pietiäinen,127
Pöllä,127
Ramberg,127
Rytilä,127
Sandås,127
Saraniemi,127
Simberg,127
Thomasson,127
Torni,127
Vasalampi,127
Veikkanen,127
Viiperi,127
Ylioja,127
Ala,126
Alarotu,126
Alasaarela,126
Eskeli,126
Finska,126
Hermans,126
Ihander,126
Ivars,126
Kalliala,126
Keskinarkaus,126
Kiimalainen,126
Korpisaari,126
Kumpunen,126
Manu,126
Mustikkamaa,126
Nemlander,126
Ranta-Nilkku,126
Remsu,126
Saarainen,126
Saksman,126
Salmenoja,126
Skaffari,126
Valto,126
Westermark,126
Virranniemi,126
Ahlgrén,125
Ahokangas,125
Ahoranta,125
Aittokallio,125
Aittokoski,125
Ekonen,125
Enström,125
Finér,125
Hagelin,125
Haili,125
Hosseini,125
Koivusilta,125
Kortesluoma,125
Källman,125
Laurikkala,125
Matinlauri,125
Nokka,125
Onatsu,125
Otranen,125
Pahlman,125
Rasinmäki,125
Ravattinen,125
Reunamo,125
Sahala,125
Strömmer,125
Tenkula,125
Tervakoski,125
Tick,125
Tiermas,125
Tiljander,125
Vilska,125
Vuojolainen,125
Ala-Heikkilä,124
Blåfield,124
Bruce,124
Cederlöf,124
Fagerudd,124
Fisk,124
Haldin,124
Hamara,124
Honkaranta,124
Huhtasaari,124
Kajula,124
Kaukanen,124
Keskisaari,124
Korvenoja,124
Kotiaho,124
Krooks,124
Lamponen,124
Lähteenoja,124
Martelius,124
Matveinen,124
Norrgrann,124
Nurmesniemi,124
Poikkeus,124
Porvali,124
Pöykiö,124
Riihimaa,124
Ritanen,124
Roschier,124
Ruohomaa,124
Räisälä,124
Seilo,124
Siukonen,124
Smedman,124
Svanbäck,124
Takarautio,124
Tallbacka,124
Törrö,124
Vakkari,124
Wallgren,124
Visa,124
Vuorivirta,124
Ylikojola,124
Ylipahkala,124
Dang,123
Elfvengren,123
Elomäki,123
Hedlund,123
Herala,123
Joutsenlahti,123
Junna,123
Järvistö,123
Karihtala,123
Karlberg,123
Klemelä,123
Kuorilehto,123
Lagerstedt,123
Lapveteläinen,123
Löfqvist,123
Mainio,123
Merikukka,123
Myllyharju,123
Nevanlinna,123
Ossi,123
Paloneva,123
Perämaa,123
Peurasaari,123
Pikkuaho,123
Pouta,123
Ravaska,123
Rissa,123
Ruhala,123
Sahanen,123
Salmensuu,123
Siekkeli,123
Silen,123
Silfvast,123
Skogström,123
Sundfors,123
Suuriniemi,123
Tillman,123
Ylén,123
Bräysy,122
Dammert,122
Faltin,122
Holmstedt,122
Inha,122
Jounila,122
Karkkola,122
Kaya,122
Keltamäki,122
Koliseva,122
Korpiaho,122
Kujansivu,122
Kulpakko,122
Kämäri,122
Lilleberg,122
Linjamäki,122
Mikkolainen,122
Palojoki,122
Peuhkurinen,122
Purtilo,122
Rehu,122
Saarikettu,122
Salonius,122
Simonaho,122
Sonck,122
Stengård,122
Suojärvi,122
Svens,122
Takaluoma,122
Telenius,122
Tikanoja,122
Toura,122
Wagner,122
Vääränen,122
Ahl,121
Dillström,121
Hasunen,121
Hella,121
Horn,121
Hussi,121
Isoherranen,121
Juupaluoma,121
Kamppila,121
Koivurova,121
Krigsholm,121
Käpyaho,121
Leinikka,121
Luomi,121
Mökkönen,121
Oravala,121
Pajuluoma,121
Palttala,121
Pistemaa,121
Prusi,121
Puusa,121
Pyöriä,121
Pälli,121
Pääjärvi,121
Roppola,121
Simontaival,121
Sokero,121
Tammivuori,121
Tavast,121
Tilander,121
Tolppa,121
Tolppi,121
Tumelius,121
Urho,121
Vanhapiha,121
Viherä,121
Virkamäki,121
von Bonsdorff,121
Vuohtoniemi,121
Ylisaari,121
Östring,121
Aarikka,120
Adolfsson,120
Alfthan,120
Blomgren,120
Halkosaari,120
Hölli,120
Islam,120
Junell,120
Kahlos,120
Kalaoja,120
Keltto,120
Kirkkomäki,120
Kivipuro,120
Korpivaara,120
Kottonen,120
Leppiaho,120
Louhivaara,120
Lovén,120
Läntinen,120
Moring,120
Nortunen,120
Otava,120
Pallas,120
Petman,120
Postila,120
Pyörre,120
Rahnasto,120
Raukko,120
Sauna-aho,120
Seuranen,120
Seurujärvi,120
Sirenius,120
Siuko,120
Siven,120
Solla,120
Sääksjärvi,120
Toro,120
Toukonen,120
Tuulaniemi,120
Tyrkkö,120
Vahter,120
Vesterholm,120
Vilo,120
Värtinen,120
Yli-Suvanto,120
Äyräväinen,120
Aspfors,119
Berisha,119
Bertell,119
Brax,119
Einiö,119
Flander,119
Haahti,119
Harmainen,119
Hatara,119
Hossain,119
Ingström,119
Kastarinen,119
Kiesilä,119
Krankkala,119
Kukkanen,119
Kulin,119
Nordenswan,119
Paulasaari,119
Poussa,119
Pyhäluoto,119
Pyykölä,119
Rauhaniemi,119
Rimpinen,119
Sadinmaa,119
Savikurki,119
Siili,119
Sulkala,119
Tolkkinen,119
Vapalahti,119
Aittoniemi,118
Arajärvi,118
Bergdahl,118
Eteläniemi,118
Europaeus,118
Hammarén,118
Harila,118
Hentula,118
Irjala,118
Juka,118
Jylli,118
Karisalmi,118
Koota,118
Korander,118
Kumlander,118
Kuva,118
Kytömaa,118
Kälkäinen,118
Latomaa,118
Lemetyinen,118
Luukkala,118
Löytönen,118
Martinkauppi,118
Ollas,118
Pirttikangas,118
Porali,118
Prusila,118
Puura,118
Reima,118
Rikberg,118
Rännäli,118
Saarilahti,118
Tuuva,118
Töykkälä,118
Vilonen,118
Visala,118
Wistbacka,118
Alinen,117
Annila,117
Do,117
Eerikkilä,117
Eskman,117
Fyhr,117
Granbacka,117
Gyldén,117
Hannunen,117
Herrgård,117
Humppi,117
Kassinen,117
Katavisto,117
Keppo,117
Klaavo,117
Koivuaho,117
Korjula,117
Kukkala,117
Kynsilehto,117
Lahdensivu,117
Lassander,117
Lastunen,117
Lindelöf,117
Lintinen,117
Lostedt,117
Lyyski,117
Lämpsä,117
Mali,117
Mäntykangas,117
Palén,117
Patteri,117
Peränen,117
Petäjämäki,117
Raikamo,117
Raikunen,117
Ruikka,117
Rydman,117
Suomäki,117
Svarvar,117
Söderqvist,117
Tähkä,117
Veteli,117
Vinkka,117
Vittaniemi,117
Aalto-Setälä,116
Ajanki,116
Allinen,116
Autto,116
Brännkärr,116
Eskonen,116
Forsgren,116
Frank,116
Fyrqvist,116
Himmanen,116
Hokkinen,116
Hoskonen,116
Innala,116
Kainlauri,116
Kalin,116
Karilahti,116
Korsman,116
Koukonen,116
Kursula,116
Kämpe,116
Köhler,116
Leiponen,116
Leppihalme,116
Liljander,116
Lintulahti,116
Mahlakaarto,116
Mantela,116
Martelin,116
Mässeli,116
Naamanka,116
Nordblom,116
Norring,116
Näreaho,116
Ojutkangas,116
Osara,116
Palo-oja,116
Peci,116
Pellikainen,116
Penttala,116
Pessala,116
Puolimatka,116
Rauvala,116
Rumbin,116
Savelainen,116
Seppelin,116
Sharma,116
Sonntag,116
Storbjörk,116
Talasmäki,116
Tervahartiala,116
Toriseva,116
Vihersaari,116
Viisanen,116
Ylipelkonen,116
Zhang,116
Öling,116
